"","Year","Country","ActionWater","WaterType","Class_cane","Epidemic","YieldOldGrade","Type_Cane","GrooveWide","FertilizerType","TypeSoil","Fertilizer","TargetOldGrade","Yield","Area_Remain","ContractsArea","YieldGrade","FarmerContractGrade","TargetGrade","Rain_Avg"
"165",1988,"Nepal","Rain","Rain","1st ratoon cane","Preemergent","Grade 1","K84-200","120 cm","Chemical","Loam","16-16-16","Grade 3",167.74,59.82,117.36,"Grade 3","B","Grade 3",2120.84
"166",1989,"Bangladesh","Rain","Rain","2nd ratoon cane","Herbicide","Grade 3","LK92-11","120 cm","Chemical","Loam","46-0-0","Grade 2",135.87,98.71,159.24,"Grade 2","C","Grade 2",2605.14
"167",1990,"India","Rain","Natural canal","3rd ratoon cane","Preemergent","Grade 3","Khonkean3","130 cm","Organic","Ferus soil","16-16-16","Grade 2",192.36,90.14,195.36,"Grade 1","C","Grade 2",2213.33
"168",1991,"India","Water pour","Natural canal","2nd ratoon cane","Preemergent","Grade 2","K84-200","150 cm","Organic","Ferus soil","16-16-16","Grade 2",78.34,29.96,162.72,"Grade 3","A","Grade 3",2942.25
"169",1992,"Sri Lanka","Rain","Natural canal","1st ratoon cane","Herbicide","Grade 3","K84-200","120 cm","Organic","Silty clay","25-07-2007","Grade 2",98.43,70.89,122.37,"Grade 1","C","Grade 2",2339.7
"170",1993,"Sri Lanka","Rain","Groundwater","1st ratoon cane","Herbicide","Grade 1","LK92-11","150 cm","Chemical","Ferus soil","46-0-0","Grade 3",158.3,64.26,484.66,"Grade 2","A","Grade 3",1355.9
"171",1994,"India","Rain","Natural canal","2nd ratoon cane","Herbicide","Grade 2","K84-200","130 cm","Chemical","Silty clay","16-16-16","Grade 2",65.31,91.48,344.91,"Grade 2","A","Grade 2",1755.57
"172",1995,"Sri Lanka","Water pour","Natural canal","2nd ratoon cane","Herbicide","Grade 2","K84-200","150 cm","Chemical","Silty clay","46-0-0","Grade 1",189.14,74.25,335.87,"Grade 1","B","Grade 2",951.93
"173",1996,"Sri Lanka","Water pour","Groundwater","1st ratoon cane","Herbicide","Grade 1","K84-200","120 cm","Chemical","Loam","16-16-16","Grade 2",115.41,56.46,474.43,"Grade 2","B","Grade 2",1717.51
"174",1997,"Nepal","Rain","Groundwater","3rd ratoon cane","Preemergent","Grade 2","Khonkean3","140 cm","Chemical","Loam","16-16-16","Grade 2",104.97,17.84,402.23,"Grade 2","B","Grade 3",597.86
"176",1999,"Nepal","Water pour","Groundwater","2nd ratoon cane","Preemergent","Grade 1","K99-72","130 cm","Chemical","Silty clay","46-0-0","Grade 3",191.01,32.03,205.63,"Grade 3","A","Grade 3",2207.47
"177",2000,"Nepal","Rain","Groundwater","2nd ratoon cane","Herbicide","Grade 2","LK92-11","130 cm","Chemical","Loam","46-0-0","Grade 2",180.92,40.8,44.82,"Grade 3","C","Grade 1",1863.93
"179",2002,"Pakistan","Rain","Groundwater","3rd ratoon cane","Herbicide","Grade 2","Khonkean3","130 cm","Organic","Loam","25-07-2007","Grade 3",174.29,65.46,274.73,"Grade 1","A","Grade 3",1136.18
"180",2003,"Nepal","Water pour","Natural canal","3rd ratoon cane","Herbicide","Grade 1","Khonkean3","130 cm","Organic","Silty clay","46-0-0","Grade 1",110.58,87.45,225.72,"Grade 3","A","Grade 2",2409.42
"182",2005,"Bangladesh","Rain","Rain","2nd ratoon cane","Preemergent","Grade 1","K99-72","120 cm","Chemical","Ferus soil","16-16-16","Grade 2",167.35,21.8,60.3,"Grade 3","A","Grade 3",2372.46
"183",2006,"Nepal","Rain","Rain","2nd ratoon cane","Preemergent","Grade 3","K84-200","140 cm","Organic","Ferus soil","25-07-2007","Grade 1",84.84,33.19,15.07,"Grade 1","B","Grade 2",1136.84
"185",2008,"Pakistan","Water pour","Groundwater","3rd ratoon cane","Preemergent","Grade 2","Khonkean3","120 cm","Organic","Loam","16-16-16","Grade 2",74.35,27.24,66.19,"Grade 1","C","Grade 1",994.99
"186",2009,"India","Water pour","Groundwater","3rd ratoon cane","Preemergent","Grade 1","K99-72","140 cm","Chemical","Silty clay","46-0-0","Grade 3",135.5,10.29,468.02,"Grade 1","C","Grade 2",1844.79
"187",2010,"Pakistan","Water pour","Rain","2nd ratoon cane","Preemergent","Grade 3","Khonkean3","140 cm","Chemical","Loam","46-0-0","Grade 3",77.55,44.33,283.55,"Grade 1","A","Grade 1",2569.65
"189",2012,"Bangladesh","Rain","Rain","3rd ratoon cane","Herbicide","Grade 3","Khonkean3","140 cm","Chemical","Silty clay","25-07-2007","Grade 3",182.36,71.46,273.96,"Grade 3","B","Grade 1",1549.19
"190",2013,"India","Water pour","Groundwater","2nd ratoon cane","Preemergent","Grade 3","LK92-11","130 cm","Chemical","Loam","25-07-2007","Grade 2",156.41,66.85,424.09,"Grade 1","C","Grade 1",573
"192",2015,"India","Water pour","Groundwater","1st ratoon cane","Preemergent","Grade 1","Khonkean3","150 cm","Organic","Ferus soil","25-07-2007","Grade 2",53.05,62.54,203.23,"Grade 3","C","Grade 3",2964.06
"193",2016,"Pakistan","Water pour","Rain","3rd ratoon cane","Herbicide","Grade 1","K84-200","150 cm","Chemical","Loam","46-0-0","Grade 3",136.89,78.03,441.47,"Grade 2","C","Grade 2",1334.58
"194",2017,"Bangladesh","Water pour","Natural canal","2nd ratoon cane","Preemergent","Grade 1","LK92-11","150 cm","Organic","Loam","15-15-15","Grade 1",198.21,49.08,442.34,"Grade 3","A","Grade 2",2125.68
"195",2018,"Bangladesh","Rain","Natural canal","2nd ratoon cane","Preemergent","Grade 3","LK92-11","130 cm","Chemical","Loam","15-15-15","Grade 3",125.6,42.56,415.51,"Grade 1","A","Grade 1",1969.34
"196",2019,"Bangladesh","Water pour","Natural canal","1st ratoon cane","Herbicide","Grade 3","Khonkean3","120 cm","Chemical","Loam","15-15-15","Grade 1",160.53,51.01,483.02,"Grade 3","B","Grade 1",2880.95
"197",2020,"India","Water pour","Rain","1st ratoon cane","Preemergent","Grade 3","LK92-11","120 cm","Chemical","Silty clay","15-15-15","Grade 3",104.07,11.25,278.49,"Grade 2","A","Grade 2",1010.5
"198",2021,"India","Rain","Rain","2nd ratoon cane","Preemergent","Grade 2","K84-200","130 cm","Chemical","Loam","25-07-2007","Grade 3",180.47,6.68,292.29,"Grade 3","C","Grade 3",822.63
"199",2022,"Bangladesh","Rain","Natural canal","1st ratoon cane","Preemergent","Grade 2","Khonkean3","150 cm","Organic","Loam","25-07-2007","Grade 1",87.8,21.49,211.66,"Grade 3","B","Grade 3",2462.3
"200",2023,"Bangladesh","Rain","Natural canal","2nd ratoon cane","Herbicide","Grade 3","K84-200","140 cm","Chemical","Loam","15-15-15","Grade 1",87.34,33.85,315.63,"Grade 1","C","Grade 1",2503.69
"201",1974,"Nepal","Water pour","Natural canal","2nd ratoon cane","Herbicide","Grade 3","K99-72","130 cm","Chemical","Ferus soil","46-0-0","Grade 1",115.23,38.63,99.94,"Grade 3","C","Grade 2",1198.09
"202",1975,"Bangladesh","Rain","Rain","1st ratoon cane","Preemergent","Grade 3","K84-200","150 cm","Chemical","Ferus soil","25-07-2007","Grade 2",182.4,6.49,468.79,"Grade 2","B","Grade 1",1458.64
"203",1976,"Nepal","Water pour","Natural canal","2nd ratoon cane","Preemergent","Grade 1","K84-200","130 cm","Chemical","Silty clay","46-0-0","Grade 2",98.85,47.36,340.8,"Grade 2","B","Grade 3",934.04
"204",1977,"Bangladesh","Rain","Groundwater","3rd ratoon cane","Preemergent","Grade 1","LK92-11","150 cm","Chemical","Loam","25-07-2007","Grade 2",155.9,55.77,13.85,"Grade 3","C","Grade 3",2028.05
"205",1978,"India","Rain","Groundwater","3rd ratoon cane","Preemergent","Grade 1","Khonkean3","150 cm","Organic","Ferus soil","25-07-2007","Grade 3",113.45,50.56,78.44,"Grade 3","B","Grade 2",1371.27
"207",1980,"Pakistan","Rain","Natural canal","3rd ratoon cane","Herbicide","Grade 2","K84-200","140 cm","Chemical","Silty clay","16-16-16","Grade 1",95.08,28.75,38.63,"Grade 2","C","Grade 1",2135.84
"208",1981,"Sri Lanka","Water pour","Groundwater","1st ratoon cane","Herbicide","Grade 2","LK92-11","130 cm","Chemical","Ferus soil","46-0-0","Grade 1",150.39,39.57,477.59,"Grade 3","B","Grade 2",2721.24
"209",1982,"Pakistan","Water pour","Groundwater","2nd ratoon cane","Herbicide","Grade 3","K84-200","130 cm","Chemical","Silty clay","25-07-2007","Grade 1",187.53,87.32,376.05,"Grade 3","B","Grade 2",1745.9
"210",1983,"Nepal","Rain","Groundwater","1st ratoon cane","Herbicide","Grade 2","LK92-11","120 cm","Organic","Loam","16-16-16","Grade 3",175.17,61.8,79.47,"Grade 3","C","Grade 3",1496.15
"211",1984,"Pakistan","Water pour","Rain","2nd ratoon cane","Preemergent","Grade 3","K99-72","140 cm","Organic","Loam","15-15-15","Grade 1",123.37,98.73,404.62,"Grade 1","C","Grade 1",2056.84
"212",1985,"Sri Lanka","Water pour","Natural canal","1st ratoon cane","Preemergent","Grade 3","K99-72","140 cm","Organic","Loam","25-07-2007","Grade 2",149.06,10.51,448.78,"Grade 1","C","Grade 1",2967.1
"213",1986,"Bangladesh","Rain","Rain","2nd ratoon cane","Herbicide","Grade 3","Khonkean3","120 cm","Chemical","Loam","16-16-16","Grade 1",110.99,17.27,442.93,"Grade 1","B","Grade 3",2111.92
"214",1987,"Nepal","Rain","Natural canal","3rd ratoon cane","Herbicide","Grade 1","LK92-11","140 cm","Chemical","Loam","25-07-2007","Grade 1",148.19,53.9,473.75,"Grade 1","C","Grade 3",1690.01
"215",1988,"Sri Lanka","Rain","Natural canal","2nd ratoon cane","Herbicide","Grade 1","LK92-11","120 cm","Chemical","Silty clay","25-07-2007","Grade 1",68.97,75.94,76.6,"Grade 2","A","Grade 3",513.1
"216",1989,"Pakistan","Water pour","Natural canal","2nd ratoon cane","Preemergent","Grade 2","LK92-11","140 cm","Chemical","Loam","15-15-15","Grade 3",177.57,34.54,128.58,"Grade 2","C","Grade 2",743.36
"217",1990,"India","Water pour","Natural canal","3rd ratoon cane","Preemergent","Grade 1","Khonkean3","150 cm","Organic","Loam","46-0-0","Grade 1",196.93,71.82,294.46,"Grade 3","B","Grade 1",1627.15
"219",1992,"Pakistan","Water pour","Natural canal","3rd ratoon cane","Preemergent","Grade 3","K99-72","150 cm","Chemical","Ferus soil","46-0-0","Grade 3",160.14,66.67,250.76,"Grade 3","B","Grade 2",1168.97
"220",1993,"Sri Lanka","Rain","Natural canal","2nd ratoon cane","Herbicide","Grade 3","Khonkean3","120 cm","Organic","Ferus soil","15-15-15","Grade 2",186.93,23.76,118.9,"Grade 3","B","Grade 2",2747.12
"221",1994,"Pakistan","Water pour","Rain","1st ratoon cane","Herbicide","Grade 2","K99-72","150 cm","Organic","Silty clay","15-15-15","Grade 1",132.79,68.41,392.16,"Grade 1","A","Grade 1",1431.62
"222",1995,"Pakistan","Rain","Groundwater","1st ratoon cane","Preemergent","Grade 2","Khonkean3","150 cm","Organic","Ferus soil","46-0-0","Grade 2",113.6,75.24,161.59,"Grade 3","A","Grade 3",1009
"223",1996,"Sri Lanka","Rain","Natural canal","1st ratoon cane","Preemergent","Grade 1","Khonkean3","120 cm","Organic","Ferus soil","25-07-2007","Grade 1",162.22,58.97,47.46,"Grade 3","A","Grade 1",2670.43
"224",1997,"Sri Lanka","Rain","Natural canal","1st ratoon cane","Herbicide","Grade 2","K84-200","120 cm","Organic","Silty clay","46-0-0","Grade 3",130.21,38.94,442.21,"Grade 2","A","Grade 2",831.01
"226",1999,"India","Rain","Rain","3rd ratoon cane","Herbicide","Grade 1","K84-200","130 cm","Chemical","Silty clay","16-16-16","Grade 3",187.53,19.86,459.73,"Grade 3","B","Grade 3",1473.44
"227",2000,"Sri Lanka","Rain","Rain","3rd ratoon cane","Herbicide","Grade 1","Khonkean3","120 cm","Organic","Ferus soil","46-0-0","Grade 3",178,68.44,445.96,"Grade 2","B","Grade 2",1017.29
"228",2001,"Sri Lanka","Rain","Groundwater","2nd ratoon cane","Herbicide","Grade 3","LK92-11","130 cm","Chemical","Silty clay","16-16-16","Grade 1",169.84,16.6,102.27,"Grade 1","A","Grade 3",1582.15
"229",2002,"India","Rain","Groundwater","2nd ratoon cane","Preemergent","Grade 1","LK92-11","120 cm","Chemical","Ferus soil","46-0-0","Grade 3",80.25,23.29,428.56,"Grade 1","B","Grade 2",625.61
"231",2004,"Bangladesh","Rain","Rain","2nd ratoon cane","Preemergent","Grade 1","LK92-11","150 cm","Organic","Loam","25-07-2007","Grade 1",75.86,13.2,193.87,"Grade 2","C","Grade 2",893.54
"233",2006,"India","Rain","Groundwater","2nd ratoon cane","Preemergent","Grade 2","K99-72","130 cm","Chemical","Silty clay","15-15-15","Grade 2",134.53,14.58,330.13,"Grade 2","C","Grade 3",1613.5
"234",2007,"Nepal","Water pour","Rain","1st ratoon cane","Herbicide","Grade 2","Khonkean3","140 cm","Chemical","Loam","16-16-16","Grade 2",54.35,8.89,325.36,"Grade 3","A","Grade 1",1897.03
"235",2008,"Sri Lanka","Rain","Natural canal","1st ratoon cane","Preemergent","Grade 3","Khonkean3","130 cm","Organic","Ferus soil","15-15-15","Grade 2",191.71,64.95,443.81,"Grade 3","C","Grade 1",2283.74
"236",2009,"Pakistan","Water pour","Groundwater","2nd ratoon cane","Herbicide","Grade 2","LK92-11","120 cm","Organic","Loam","16-16-16","Grade 2",86.97,49.8,452.39,"Grade 1","A","Grade 3",1084.1
"237",2010,"Sri Lanka","Water pour","Rain","2nd ratoon cane","Preemergent","Grade 3","K84-200","140 cm","Chemical","Silty clay","46-0-0","Grade 3",121.51,64.98,56.32,"Grade 1","C","Grade 3",1366.83
"239",2012,"Bangladesh","Water pour","Rain","1st ratoon cane","Preemergent","Grade 2","LK92-11","120 cm","Chemical","Silty clay","16-16-16","Grade 1",69.29,44.61,158.67,"Grade 1","B","Grade 3",2485.06
"240",2013,"India","Water pour","Groundwater","3rd ratoon cane","Herbicide","Grade 1","Khonkean3","130 cm","Organic","Ferus soil","15-15-15","Grade 1",127.99,66.24,470.67,"Grade 1","B","Grade 3",1296.76
"241",2014,"India","Rain","Natural canal","2nd ratoon cane","Herbicide","Grade 3","K99-72","130 cm","Organic","Silty clay","15-15-15","Grade 2",119.28,85.42,149.32,"Grade 1","C","Grade 1",2907.38
"243",2016,"Nepal","Rain","Rain","2nd ratoon cane","Preemergent","Grade 2","Khonkean3","120 cm","Organic","Loam","15-15-15","Grade 3",116.44,81.13,42.34,"Grade 3","C","Grade 3",1314.47
"244",2017,"Bangladesh","Rain","Natural canal","1st ratoon cane","Herbicide","Grade 1","K99-72","130 cm","Organic","Ferus soil","46-0-0","Grade 1",173.22,95.68,444.65,"Grade 3","C","Grade 1",1772.97
"245",2018,"Pakistan","Water pour","Rain","3rd ratoon cane","Herbicide","Grade 2","LK92-11","150 cm","Organic","Ferus soil","46-0-0","Grade 3",111.11,98.89,21.29,"Grade 3","B","Grade 3",2433.15
"246",2019,"Nepal","Rain","Natural canal","2nd ratoon cane","Preemergent","Grade 2","K84-200","140 cm","Organic","Ferus soil","25-07-2007","Grade 1",141.36,94.71,106.06,"Grade 2","C","Grade 3",2800.06
"247",2020,"Nepal","Water pour","Natural canal","3rd ratoon cane","Herbicide","Grade 3","Khonkean3","120 cm","Organic","Silty clay","25-07-2007","Grade 2",133.15,47.53,377.23,"Grade 1","A","Grade 2",2639.77
"248",2021,"Pakistan","Water pour","Rain","3rd ratoon cane","Preemergent","Grade 3","LK92-11","150 cm","Organic","Loam","25-07-2007","Grade 2",165.91,57.49,223.38,"Grade 1","B","Grade 2",2014.45
"249",2022,"Nepal","Water pour","Rain","2nd ratoon cane","Preemergent","Grade 3","K99-72","150 cm","Organic","Silty clay","16-16-16","Grade 2",183.95,53.19,189.03,"Grade 1","A","Grade 1",616.19
"251",1974,"India","Water pour","Natural canal","3rd ratoon cane","Preemergent","Grade 3","Khonkean3","130 cm","Chemical","Silty clay","25-07-2007","Grade 1",177.94,83.4,333.66,"Grade 1","C","Grade 2",1514.73
"252",1975,"Bangladesh","Rain","Rain","3rd ratoon cane","Herbicide","Grade 2","K84-200","120 cm","Chemical","Ferus soil","16-16-16","Grade 1",138.21,45.12,299.17,"Grade 3","A","Grade 1",694.71
"253",1976,"India","Water pour","Rain","1st ratoon cane","Preemergent","Grade 2","K99-72","130 cm","Chemical","Ferus soil","16-16-16","Grade 1",144.11,15.45,368.37,"Grade 2","A","Grade 1",2163.72
"256",1979,"India","Rain","Rain","3rd ratoon cane","Preemergent","Grade 1","LK92-11","140 cm","Chemical","Silty clay","46-0-0","Grade 2",155.48,38.9,255.41,"Grade 1","C","Grade 3",2223.2
"258",1981,"Pakistan","Water pour","Natural canal","2nd ratoon cane","Herbicide","Grade 3","LK92-11","120 cm","Chemical","Ferus soil","16-16-16","Grade 3",174.98,69.37,30.69,"Grade 2","C","Grade 2",1557.4
"259",1982,"Sri Lanka","Water pour","Groundwater","2nd ratoon cane","Herbicide","Grade 2","K99-72","150 cm","Chemical","Loam","15-15-15","Grade 2",194.99,5.68,119.71,"Grade 3","A","Grade 2",2896.22
"261",1984,"Sri Lanka","Water pour","Rain","2nd ratoon cane","Preemergent","Grade 2","K84-200","130 cm","Chemical","Ferus soil","16-16-16","Grade 3",169.5,27.09,315.89,"Grade 3","A","Grade 3",1829.09
"262",1985,"Bangladesh","Water pour","Natural canal","2nd ratoon cane","Herbicide","Grade 2","Khonkean3","140 cm","Organic","Loam","16-16-16","Grade 1",137.53,27.68,129.14,"Grade 1","B","Grade 2",2124.16
"263",1986,"Sri Lanka","Water pour","Groundwater","3rd ratoon cane","Herbicide","Grade 1","Khonkean3","140 cm","Chemical","Ferus soil","16-16-16","Grade 3",147.68,71.71,488.38,"Grade 3","B","Grade 3",1030.18
"264",1987,"India","Rain","Groundwater","3rd ratoon cane","Herbicide","Grade 1","K99-72","130 cm","Chemical","Ferus soil","16-16-16","Grade 3",65.76,72.62,241.73,"Grade 2","C","Grade 1",1640.96
"265",1988,"Sri Lanka","Rain","Rain","1st ratoon cane","Herbicide","Grade 1","K99-72","120 cm","Chemical","Ferus soil","25-07-2007","Grade 2",176.27,45.17,205.71,"Grade 2","C","Grade 3",1698.77
"266",1989,"Pakistan","Rain","Natural canal","1st ratoon cane","Preemergent","Grade 2","K99-72","140 cm","Organic","Silty clay","25-07-2007","Grade 3",90.23,32.16,473.14,"Grade 1","C","Grade 3",911.83
"267",1990,"Bangladesh","Water pour","Natural canal","1st ratoon cane","Preemergent","Grade 2","LK92-11","130 cm","Chemical","Ferus soil","46-0-0","Grade 2",115.17,24.07,284.81,"Grade 1","C","Grade 2",584.56
"268",1991,"Pakistan","Rain","Groundwater","1st ratoon cane","Preemergent","Grade 2","K99-72","140 cm","Organic","Silty clay","46-0-0","Grade 3",77.72,5.29,389.58,"Grade 2","B","Grade 3",2097.78
"269",1992,"India","Rain","Rain","2nd ratoon cane","Herbicide","Grade 2","LK92-11","150 cm","Organic","Loam","25-07-2007","Grade 1",103.06,49.67,391.15,"Grade 1","A","Grade 3",2304.4
"271",1994,"Bangladesh","Water pour","Rain","3rd ratoon cane","Preemergent","Grade 2","LK92-11","120 cm","Chemical","Silty clay","25-07-2007","Grade 2",72.39,23.08,211.13,"Grade 3","B","Grade 3",923.74
"272",1995,"Sri Lanka","Water pour","Natural canal","3rd ratoon cane","Herbicide","Grade 2","K99-72","130 cm","Organic","Silty clay","25-07-2007","Grade 2",95.3,39.9,295.87,"Grade 2","C","Grade 3",849.9
"273",1996,"Nepal","Rain","Rain","1st ratoon cane","Preemergent","Grade 3","K99-72","130 cm","Organic","Silty clay","25-07-2007","Grade 3",184.99,25.74,318.01,"Grade 3","B","Grade 3",2674.62
"275",1998,"Nepal","Rain","Natural canal","2nd ratoon cane","Preemergent","Grade 3","Khonkean3","120 cm","Organic","Loam","25-07-2007","Grade 1",50.54,68.64,381.39,"Grade 1","B","Grade 3",1993.06
"276",1999,"Bangladesh","Water pour","Rain","3rd ratoon cane","Herbicide","Grade 1","LK92-11","140 cm","Chemical","Silty clay","46-0-0","Grade 1",62.69,14.01,458.92,"Grade 3","B","Grade 2",755.44
"277",2000,"Sri Lanka","Rain","Natural canal","3rd ratoon cane","Herbicide","Grade 2","Khonkean3","130 cm","Organic","Silty clay","15-15-15","Grade 1",147.75,51.72,261.17,"Grade 3","B","Grade 1",2291.68
"282",2005,"Nepal","Water pour","Natural canal","2nd ratoon cane","Herbicide","Grade 1","Khonkean3","140 cm","Chemical","Loam","16-16-16","Grade 3",145.89,30.53,11.27,"Grade 1","A","Grade 1",1192.3
"283",2006,"Pakistan","Water pour","Natural canal","1st ratoon cane","Preemergent","Grade 2","LK92-11","150 cm","Organic","Silty clay","15-15-15","Grade 3",138.08,72.61,331.62,"Grade 1","A","Grade 2",803.01
"284",2007,"Bangladesh","Water pour","Rain","1st ratoon cane","Herbicide","Grade 2","K84-200","120 cm","Chemical","Loam","25-07-2007","Grade 3",187.82,65,252.17,"Grade 2","C","Grade 2",2244.14
"285",2008,"Nepal","Rain","Groundwater","2nd ratoon cane","Preemergent","Grade 1","K84-200","130 cm","Organic","Loam","46-0-0","Grade 3",194.87,81.34,222.31,"Grade 3","A","Grade 3",2227.62
"286",2009,"Nepal","Water pour","Groundwater","2nd ratoon cane","Preemergent","Grade 1","K84-200","140 cm","Chemical","Silty clay","15-15-15","Grade 3",72.95,10.79,293.88,"Grade 3","B","Grade 3",1107.94
"288",2011,"Bangladesh","Water pour","Groundwater","3rd ratoon cane","Preemergent","Grade 1","Khonkean3","130 cm","Chemical","Silty clay","25-07-2007","Grade 2",52.68,13.48,448.3,"Grade 3","B","Grade 2",1743.57
"289",2012,"Nepal","Rain","Natural canal","1st ratoon cane","Preemergent","Grade 1","K99-72","140 cm","Organic","Silty clay","15-15-15","Grade 1",187.47,10.44,172.29,"Grade 3","A","Grade 3",1736.74
"290",2013,"Bangladesh","Rain","Groundwater","3rd ratoon cane","Herbicide","Grade 1","K84-200","120 cm","Organic","Silty clay","15-15-15","Grade 1",110.61,25.21,153.93,"Grade 3","B","Grade 2",2814.33
